scheme_id,min_age,max_age,gender,occupation,annual_income_limit,caste_eligible,caste_categories,scheme_name,category,description,eligibility_summary
1,18,25,All,Student,600000,No,NULL,PM Scholarship Scheme,Education,Scholarship for wards of ex-servicemen and ex-coast guard for higher education,Students aged 18-25 who are wards of ex-servicemen with income below 6L
2,13,18,All,Student,150000,No,NULL,National Means-cum-Merit Scholarship,Education,Scholarship to prevent dropout at Class 8 and support meritorious students,Students in Class 9-12 with family income below 1.5L
3,15,30,All,Student,250000,Yes,SC,Post Matric Scholarship for SC Students,Education,Financial assistance to SC students pursuing post-matriculation education,SC students pursuing post-matric education with family income below 2.5L
4,18,25,All,Student,800000,No,NULL,Central Sector Scholarship for College Students,Education,Scholarship for top academic performers in higher education,Students in top 20 percentile in Class 12 with income below 8L
5,18,NULL,All,Student,NULL,No,NULL,Pradhan Mantri Vidya Lakshmi Karyakram,Education,Unified portal for education loan and scholarship applications,Any student seeking education loan or scholarship for higher studies
6,18,30,All,Student,600000,No,NULL,Ishan Uday Scholarship for North East,Education,Special scholarship for students from North Eastern states,Students from NE states pursuing higher education with income below 6L
7,18,30,Female,Student,800000,No,NULL,Pragati Scholarship for Girl Students,Education,Scholarship for girl students pursuing technical education,Girl students in AICTE-approved institutions with family income below 8L
8,18,30,All,Student,800000,No,NULL,Saksham Scholarship for Disabled Students,Education,Scholarship for differently-abled students in technical institutions,Students with 40% or more disability in AICTE-approved courses
9,6,14,All,Student,NULL,No,NULL,Mid-Day Meal Scheme,Food,"Free cooked meals provided to children in government and aided schools","All children enrolled in Classes 1-8 in government schools"
10,3,6,All,All,NULL,No,NULL,PM POSHAN Scheme,Food,"Nutritional support to children in Anganwadis and pre-primary schools","Children aged 3-6 attending Anganwadi centres across India"
11,NULL,NULL,All,All,NULL,No,NULL,Antyodaya Anna Yojana,Food,"Subsidised foodgrains at lowest prices for poorest of poor families","Families identified as poorest of poor under BPL category"
12,NULL,NULL,All,All,NULL,No,NULL,Pradhan Mantri Garib Kalyan Anna Yojana,Food,"Free foodgrains to poor households under National Food Security Act","NFSA beneficiaries entitled to 5 kg free grain per person per month"
